player_name,own_count,captaincy_count,price,points
A.Becker,3,0,55,21
Adingra,1,0,55,11
Aina,1,0,44,12
Alexander-Arnold,6,0,70,20
Amad,2,0,50,10
Andersen,3,0,44,0
Andreas,2,0,55,5
Areola,3,0,45,8
B.Fernandes,7,0,84,7
Barco,10,0,40,0
Benda,1,0,40,0
Bentley,2,0,40,0
Bernardo,1,0,66,15
Burn,2,0,45,6
Cucurella,1,0,50,4
Dalot,1,0,50,9
Davis,1,0,45,8
De Bruyne,1,0,96,16
Diogo J.,8,0,76,17
Dunk,1,0,45,10
Emerson,1,0,45,7
Eze,8,0,69,14
Fabianski,4,0,40,1
Faes,1,0,41,9
Flekken,2,0,45,10
Foden,1,0,94,1
Fraser,3,0,45,0
Gabriel,5,0,60,14
Garnacho,1,0,64,7
Gibbs-White,4,0,65,13
Gordon,4,0,75,15
Gray,1,0,49,2
Guéhi,1,0,45,3
Gvardiol,7,1,60,11
Haaland,14,13,152,41
Hall,1,0,45,7
Harwood-Bellis,3,0,40,3
Havertz,2,0,81,22
Henderson,5,0,45,7
Hudson-Odoi,2,0,55,8
Iroegbunam,1,0,45,5
Isak,14,1,85,16
Iversen,1,0,40,0
Jebbison,2,0,45,2
Johnson,3,0,40,3
João Pedro,6,0,57,18
Kudus,1,0,64,7
Lewis,2,0,46,14
M.Salah,8,3,126,41
Martinez,3,0,50,6
Mateta,1,0,74,5
Mavididi,1,0,54,3
Mazraoui,2,0,45,13
Mbeumo,1,0,71,24
Mosquera,1,0,40,1
Muniz,7,0,61,6
Muñoz,3,0,50,6
Mykolenko,5,0,44,2
N.Jackson,2,0,76,18
N.Williams,1,0,45,9
Nedeljkovic,4,0,40,3
Nkunku,3,0,63,3
Onana,2,0,50,8
Palmer,6,1,106,25
Pedro Porro,12,0,55,16
Pickford,2,0,49,4
Quansah,1,0,43,1
Raya,4,0,55,20
Robertson,1,0,60,18
Robinson,7,0,46,13
Rogers,9,0,51,6
Romero,1,0,51,17
Rúben,1,0,55,7
Saka,13,1,101,24
Saliba,10,0,60,14
Sangaré,1,0,45,4
Sels,1,0,45,11
Smith Rowe,7,0,56,15
Solanke,1,0,75,2
Son,2,0,100,21
Souček,1,0,50,14
Szmodics,1,0,60,9
Taylor,2,0,40,1
Toney,1,0,73,0
Turner,5,0,40,0
Valdimarsson,2,0,40,0
Virgil,2,0,60,18
Walker,1,0,54,1
Ward,2,0,40,0
Watkins,7,1,89,9
White,1,0,65,14
Winks,3,0,45,5
Wood,3,0,61,19
Yarmoliuk,1,0,45,0
Ødegaard,3,0,84,7
